class,采集时间,竖向加速度平均值,竖向加速度标准差
93,2021-04-28 10:30:00.000,-8.940828394907764e-06,0.004323905021744668
94,2021-04-28 10:40:00.000,-6.4094351008809344e-06,0.0037196989916212946
95,2021-04-28 10:50:00.000,-1.9842760088527025e-05,0.005279648629335661
96,2021-04-28 11:00:01.000,-1.0965175695774526e-05,0.007042924648608714
97,2021-04-28 11:10:00.000,1.091325020697718e-05,0.004982525670977906
98,2021-04-28 11:20:00.000,2.8994010164156437e-06,0.004493311055120701
99,2021-04-28 11:30:00.000,1.9185051034803005e-05,0.005959574221667954
100,2021-04-28 11:40:00.000,1.0270355128840239e-07,0.002657791552040109
101,2021-04-28 11:50:00.000,1.8372728139649917e-06,0.0027317988619862473
102,2021-04-28 12:00:00.000,9.378503548720855e-06,0.007929957085452764
103,2021-04-28 12:10:00.000,-8.62833637368405e-06,0.008802958398799837
104,2021-04-28 12:20:00.000,2.038072573447747e-06,0.005074247074202915
105,2021-04-28 12:30:00.000,1.44356245796576e-06,0.0053229574451430315
106,2021-04-28 12:40:00.000,-4.4455608757748224e-06,0.009138246402010148
107,2021-04-28 12:50:00.000,1.8891331139213571e-06,0.004141940847619673
108,2021-04-28 13:00:00.000,-4.386250911886085e-06,0.007336090344002197
109,2021-04-28 13:10:00.000,-3.083948450002515e-06,0.003752385692858656
110,2021-04-28 13:20:00.000,2.2201415425460587e-06,0.004593622253797577
111,2021-04-28 13:30:00.000,4.100313175644419e-07,0.005136889628257817
112,2021-04-28 13:40:00.000,1.7511013533031925e-06,0.006681355221085346
113,2021-04-28 13:50:00.000,-4.89055356529059e-06,0.011255414611020953
114,2021-04-28 14:00:00.000,1.7706471408054004e-05,0.010862104477519379
115,2021-04-28 14:10:00.000,-9.672324028400184e-06,0.009674080291360264
116,2021-04-28 14:20:00.000,3.770546606493563e-06,0.009075202661054247
117,2021-04-28 14:30:00.000,-5.394679087451934e-07,0.004442871735663861
118,2021-04-28 14:40:00.000,1.3887736719017388e-05,0.00495665001252944
119,2021-04-28 14:50:00.000,8.182964129742576e-07,0.004268014724393422
120,2021-04-28 15:00:00.000,3.126930435382445e-06,0.008483966175263721
121,2021-04-28 15:10:00.000,-1.1623505074928038e-05,0.009467699012546698
122,2021-04-28 15:20:00.000,3.4069829753460493e-06,0.00898527338318518
123,2021-04-28 15:30:00.000,2.063590992283627e-06,0.003861205406171028
124,2021-04-28 15:40:00.000,1.3803189105217549e-06,0.008109585227968502
125,2021-04-28 15:50:00.000,-2.020313360151506e-06,0.007106380505497618
126,2021-04-28 16:00:00.000,-2.4818307750103317e-06,0.007067140211356276
127,2021-04-28 16:10:00.000,7.1474620652736845e-06,0.004407699511596361
128,2021-04-28 16:20:00.000,9.062608754699397e-07,0.005181962534838111
129,2021-04-28 16:30:00.000,-1.1422421278130832e-05,0.007207651482159774
130,2021-04-28 16:40:00.000,-4.518823652910547e-07,0.007420872721768469
131,2021-04-28 16:50:00.000,-2.4781022677136606e-05,0.0071916467252546796
132,2021-04-28 17:00:00.000,2.6608081516525646e-05,0.0058404044059911335
133,2021-04-28 17:10:00.000,-1.5294354924027363e-05,0.00549059633132111
134,2021-04-28 17:20:00.000,1.457478081265073e-06,0.0055038083923333765
135,2021-04-28 17:30:00.000,1.3056727226889084e-06,0.008127449260239833
136,2021-04-28 17:40:00.000,-1.1978525894425278e-06,0.009198875414945728
137,2021-04-28 17:50:00.000,-5.261528191326019e-07,0.0067043420534970855
138,2021-04-28 18:00:00.000,-1.0276291704611447e-05,0.007941735266061189
139,2021-04-28 18:10:00.000,-3.2424086711562258e-06,0.0038038369069547415
140,2021-04-28 18:20:00.000,-1.3232728409533965e-05,0.006914946397134552
141,2021-04-28 18:30:00.000,-5.046255902818419e-06,0.008005266255079252
142,2021-04-28 18:40:00.000,-1.259597794351662e-06,0.004518995977176225
143,2021-04-28 18:50:00.000,-3.462892759934899e-06,0.008904954891368375
144,2021-04-28 19:00:00.000,-2.8746096229607953e-06,0.009792361400208975
145,2021-04-28 19:10:00.000,3.8987803357734635e-07,0.002586099375718459
146,2021-04-28 19:20:00.000,1.7537053380378748e-06,0.008240494674707988
147,2021-04-28 19:30:00.000,2.5556721832527796e-06,0.007301174117851991
148,2021-04-28 19:40:00.000,2.6049040976429363e-06,0.006397223238888507
149,2021-04-28 19:50:00.000,-1.294831741972254e-06,0.0032022932186820435
150,2021-04-28 20:00:00.000,4.262499543607253e-07,0.00751668089697742
151,2021-04-28 20:10:00.000,-4.0257989582239965e-06,0.005167171210210549
152,2021-04-28 20:20:00.000,-2.936990653987906e-06,0.005451597528778743
153,2021-04-28 20:30:00.000,-1.3238919256377232e-05,0.004644640068291191
154,2021-04-28 20:40:00.000,-1.778260058807832e-06,0.007238630943532344
