class,采集时间,竖向变位平均值,竖向变位标准差
172,2021-04-28 23:40:15,-4.46423586184905,4.9270052264250195
173,2021-04-28 23:50:15,-4.323660714285839,4.488320127087509
174,2021-04-29 00:00:15,-4.427451303237321,4.978158055545757
175,2021-04-29 00:10:15,-5.015921072586049,5.341532498880835
176,2021-04-29 00:20:15,-5.00821955101367,5.716741248136906
177,2021-04-29 00:30:15,-10.825500206762777,18.58098470358307
178,2021-04-29 00:40:15,-7.122581845238203,6.883457416370033
179,2021-04-29 00:50:15,-6.237289186508139,5.11168383292833
180,2021-04-29 01:00:15,-7.2699393351273205,5.808917653859471
181,2021-04-29 01:10:15,-7.0028521825398204,5.061282337497577
182,2021-04-29 01:20:15,-8.700990041916207,6.789819007733645
183,2021-04-29 01:30:15,-8.28846226355189,5.2084486432728125
184,2021-04-29 01:40:15,-8.872873793570964,5.237365634430257
185,2021-04-29 01:50:16,-11.32149570354466,9.62531127650057
186,2021-04-29 02:00:15,-10.368050400683323,5.089863599740683
187,2021-04-29 02:10:15,-10.875242189996948,4.749909279452056
188,2021-04-29 02:20:15,-11.6886487576253,5.203930880138623
189,2021-04-29 02:30:15,-12.563557428809663,5.60910551330663
190,2021-04-29 02:40:15,-12.95237895895125,5.8860382178811035
191,2021-04-29 02:50:15,-13.770535008788416,5.115968679716402
192,2021-04-29 03:00:15,-14.825721774610036,5.180126112118497
193,2021-04-29 03:10:15,-16.081085359675914,7.09554210893324
194,2021-04-29 03:20:15,-15.658118118892892,4.567122127791782
195,2021-04-29 03:30:15,-15.903955853174647,4.843509701074684
196,2021-04-29 03:40:15,-16.73609940436064,5.733730419839099
197,2021-04-29 03:50:15,-17.79229874715995,5.9833326376925555
198,2021-04-29 04:00:15,-17.712143974399023,5.472477691608483
199,2021-04-29 04:10:15,-17.65381316281969,4.734560348366362
200,2021-04-29 04:20:15,-18.351779592295514,4.998306742601347
201,2021-04-29 04:30:15,-18.839443648921844,5.248956415398342
202,2021-04-29 04:40:15,-19.080484801153418,5.728618047728971
203,2021-04-29 04:50:15,-20.030474357734995,5.399140359686645
204,2021-04-29 05:00:15,-20.117696855603196,4.465514212105835
205,2021-04-29 05:10:15,-22.601283917040494,6.289475159152365
206,2021-04-29 05:20:15,-23.04130866620398,6.163584171842316
207,2021-04-29 05:30:15,-23.269275677716845,6.3736702177723865
208,2021-04-29 05:40:15,-23.722756909031403,5.951403043831921
209,2021-04-29 05:50:15,-24.467541472578183,6.435374678824476
210,2021-04-29 06:00:15,-24.471294405062242,4.913002320613249
211,2021-04-29 06:10:15,-25.162176564241996,5.496549940373622
212,2021-04-29 06:20:15,-24.720407145666275,5.332520692256358
213,2021-04-29 06:30:15,-24.622910441167,4.894777097688154
214,2021-04-29 06:40:15,-24.878859035969104,4.855081784643931
215,2021-04-29 06:50:15,-25.05850541685542,4.537435209960449
216,2021-04-29 07:00:15,-24.847120472120444,4.88026271967016
217,2021-04-29 07:10:15,-24.78685187402707,4.261691852084817
218,2021-04-29 07:20:15,-24.517107605953175,4.71389642735162
219,2021-04-29 07:30:15,-23.329116732583607,3.9459456437508527
220,2021-04-29 07:40:15,-22.661582050853138,4.123657521587951
221,2021-04-29 07:50:15,-21.656839482208355,4.556715554213386
222,2021-04-29 08:00:15,-20.612006763031953,3.80869925027414
223,2021-04-29 08:10:15,-18.697395659664366,3.8690198470661064
224,2021-04-29 08:20:15,-17.448208328368867,3.7689022560504917
225,2021-04-29 08:30:15,-16.250715862107523,5.0706123720788465
226,2021-04-29 08:40:15,-14.28379216269842,4.963324934439549
227,2021-04-29 08:50:15,-11.079985119047613,4.802366440521498
228,2021-04-29 09:00:15,-10.313787416950449,4.732007657479408
229,2021-04-29 09:10:15,-8.525906113450107,3.8432213902795125
230,2021-04-29 09:20:15,-6.6671555023543805,4.8366555927614705
231,2021-04-29 09:30:15,-4.978249960251219,4.7058307843646645
232,2021-04-29 09:40:15,-2.415302579365124,5.180484728137351
233,2021-04-29 09:50:15,-0.33569429192135364,4.46840094493034
234,2021-04-29 10:00:15,1.310524335173067,5.59541145203631
235,2021-04-29 10:10:15,2.4613699029907607,5.085031105371652
236,2021-04-29 10:20:15,3.981001495303336,5.042571537971491
237,2021-04-29 10:30:15,6.900517296159503,4.466329049076302
238,2021-04-29 10:40:15,7.5480989179297415,5.475169381905701
239,2021-04-29 10:50:15,8.906206180941158,5.799067257013756
240,2021-04-29 11:00:15,12.75490361853227,4.695623657258988
241,2021-04-29 11:10:15,13.293326503383224,5.114057252092549
242,2021-04-29 11:20:15,14.021353569837023,4.911747021918547
243,2021-04-29 11:30:15,15.508822881436695,5.193549406380766
244,2021-04-29 11:40:15,16.74137901951914,5.27799473712595
245,2021-04-29 11:50:15,17.54204080495455,7.37866792144827
246,2021-04-29 12:00:15,19.895108764699792,8.166030662648451
247,2021-04-29 12:10:15,20.288225120853483,6.099960268469326
248,2021-04-29 12:20:15,22.62920308146594,5.510444552532872
249,2021-04-29 12:30:15,21.37299247763998,10.991486392661919
250,2021-04-29 12:40:15,24.76447095932387,6.560254185097093
251,2021-04-29 12:50:15,26.409343789199532,6.499508385293301
252,2021-04-29 13:00:15,25.937195696246924,7.09572825637272
253,2021-04-29 13:10:15,25.93568174060751,6.005185160746418
254,2021-04-29 13:20:15,27.36470734126977,6.029278861397379
255,2021-04-29 13:30:15,26.312224214009888,7.059212421239393
256,2021-04-29 13:40:15,26.778038925608623,7.669215566760965
257,2021-04-29 13:50:15,27.71381238763456,6.241835938707311
258,2021-04-29 14:00:15,27.526531661347388,6.8458002045335
259,2021-04-29 14:10:15,26.770027281745968,7.608435301190913
260,2021-04-29 14:20:15,28.873768934882975,7.258501094170882
261,2021-04-29 14:30:15,28.447127829787863,8.030839007363795
262,2021-04-29 14:40:15,30.13051225408466,6.024675027429869
263,2021-04-29 14:50:15,29.74633271283784,6.686067377413371
264,2021-04-29 15:00:15,29.34562733544117,6.397825360480466
265,2021-04-29 15:10:15,28.808936173192116,7.442477261224345
266,2021-04-29 15:20:15,28.87106680478488,6.28322510417045
267,2021-04-29 15:30:15,27.81552133688943,6.2544251579288
268,2021-04-29 15:40:15,26.381218406363036,5.902239494184466
269,2021-04-29 15:50:15,25.8733658569597,7.1521693331181595
270,2021-04-29 16:00:15,25.577179244453998,6.812924058299953
