class,采集时间,横向加速度平均值,横向加速度标准差
164,2021-05-05 03:20:00.000,-7.667759464696834e-07,0.0006997338740825777
165,2021-05-05 03:30:00.000,-1.1772215688854091e-07,0.0009480105984056651
166,2021-05-05 03:40:00.000,2.8614117240537176e-06,0.000829786447080113
167,2021-05-05 03:50:00.000,-1.2583666865074384e-07,0.00037186046169312216
168,2021-05-05 04:00:00.000,-6.437383567268615e-07,0.0008970016841210163
169,2021-05-05 04:10:01.000,1.0938963572767247e-07,0.00019920579379549588
170,2021-05-05 04:20:00.000,-7.546890891716733e-07,0.0007779646832570809
171,2021-05-05 04:30:00.000,-4.062221305960144e-07,0.0006081776489974075
172,2021-05-05 04:40:00.000,-1.5204306972316694e-07,0.0006600236275347232
173,2021-05-05 04:50:00.000,-1.7300708496681739e-06,0.0006770184430969978
174,2021-05-05 05:00:00.000,-1.2270219227836744e-06,0.0009227156670204538
175,2021-05-05 05:10:00.000,-4.6327732242692634e-07,0.0009304378288889037
176,2021-05-05 05:20:00.000,1.020504344491878e-05,0.0008081707484014285
177,2021-05-05 05:30:00.000,2.828584543100981e-07,0.0007720771055271118
178,2021-05-05 05:40:01.000,-4.5973771850911754e-06,0.0009191484931792928
179,2021-05-05 05:50:00.000,-4.1686802927338334e-06,0.000855927609667644
180,2021-05-05 06:00:00.000,-1.924979169758001e-05,0.001300856843384025
181,2021-05-05 06:10:00.000,-1.0011070396245852e-06,0.00055331013382212
182,2021-05-05 06:20:00.000,-2.0853092632474747e-06,0.0008100428691897488
183,2021-05-05 06:30:00.000,-4.666103588226918e-07,0.0009975518092381523
184,2021-05-05 06:40:00.000,1.456907904100847e-07,0.0006310061389412897
185,2021-05-05 06:50:00.000,-6.269649964213917e-06,0.0009967275869582045
186,2021-05-05 07:00:00.000,2.0440075210743368e-06,0.0006887793305702483
187,2021-05-05 07:10:00.000,7.741868987275833e-08,0.0011988558480191013
188,2021-05-05 07:20:00.000,6.544479003482706e-07,0.0008429096285931232
189,2021-05-05 07:30:00.000,4.5900355216796117e-07,0.0008831363121628605
190,2021-05-05 07:40:00.000,-7.372964119615967e-07,0.000572335451909854
191,2021-05-05 07:50:01.000,1.554697377540749e-07,0.0008134417519283165
192,2021-05-05 08:00:00.000,4.320541063560277e-07,0.0008299079455037971
193,2021-05-05 08:10:00.000,1.3039523129553127e-07,0.0006812826843153102
194,2021-05-05 08:20:00.000,2.3098566020321857e-07,0.0007606538351162635
195,2021-05-05 08:30:00.000,1.3508314751527674e-07,0.000641418455378164
196,2021-05-05 08:40:00.000,-3.771914659658535e-06,0.0012166339113203663
197,2021-05-05 08:50:00.000,1.1499748971114379e-06,0.0010343066418123585
198,2021-05-05 09:00:00.000,8.907495707031903e-07,0.0006907793755322164
199,2021-05-05 09:10:00.000,7.149865020381278e-07,0.0008539716840499617
200,2021-05-05 09:20:00.000,-1.6871328116670148e-06,0.0009451385369245666
201,2021-05-05 09:30:00.000,-7.211597772298431e-07,0.0007369320964866442
202,2021-05-05 09:40:00.000,-3.639962803798537e-06,0.0011306964062494302
203,2021-05-05 09:50:00.000,-1.7335789188473664e-08,0.0005184711471796951
204,2021-05-05 10:00:00.000,-1.1610003592947206e-06,0.0009652711540488446
205,2021-05-05 10:10:00.000,2.2179148099093455e-07,0.0005631390497341821
206,2021-05-05 10:20:00.000,-8.014150703229e-07,0.0008904654901459755
207,2021-05-05 10:30:00.000,7.624488468167293e-07,0.0005695113199634641
208,2021-05-05 10:40:00.000,5.427246117716168e-07,0.0006821083759563519
209,2021-05-05 10:50:00.000,3.056750777567376e-07,0.0005294121845071352
210,2021-05-05 11:00:00.000,-5.599583676823351e-07,0.0006302598786715925
211,2021-05-05 11:10:00.000,2.0649315606076014e-07,0.0006129222872776667
212,2021-05-05 11:20:00.000,8.277844291798052e-07,0.0006468102574587527
213,2021-05-05 11:30:00.000,-1.9959750630110428e-09,0.000605759273135947
214,2021-05-05 11:40:00.000,5.377379856752007e-07,0.0009079102979269904
215,2021-05-05 11:50:00.000,8.271194515190563e-07,0.000817378831998645
216,2021-05-05 12:00:00.000,-2.756617673225145e-07,0.00046141601717892
